id,word,explanation,char_count;;;;;;;;;;;;;;;;;;;;;;;;;
"353,beret,""tergores, lecet (tentang kulit dan sebagainya) : kakinya beret dicakar kucing"",5";; tidak kacau: keadaan perabotan di ruangan itu beres; rumah tangganya beres; (2) selesai; tidak kusut: persoalannya sudah beres; (3) lunas (tentang utang); habis: utang saya sudah beres;" (4) cakapan (tidak baku) bagus (terlaksana dengan baik): jangan khawatir, pokoknya beres"",5";;;;;;;;;;;;;;;;;
354,bergajul,buruk kelakuannya (jahat); suka membangkitkan kemarahan orang,8;;;;;;;;;;;;;;;;;;;;;;;;
359,bergores,bergaris; bergarit;;;;;;;;;;;;;;;;;;;;;;;;
361,berharga,bernilai; tinggi nilainya; bercorek; berparut,8;;;;;;;;;;;;;;;;;;;;;;
364,berjibun,cakapan (tidak baku) banyak sekali (tentang orang),8;; penting: dokumen pribadi dan surat-surat berharga lainnya dititipkannya di bank,8;;;;;;;;;;;;;;;;;;;;;;;
365,berjuntaian,berjuntai-juntai; berayun-ayun: tandan pisang itu berjuntaian,11;;;;;;;;;;;;;;;;;;;;;;;;
366,berkelaluan,tidak berhentinya; tidak ada batasnya;;;;;;;;;;;;;;;;;;;;;;;;
370,berlapar,berasa lapar,8;; selalu,11;;;;;;;;;;;;;;;;;;;;;;;
"372,bermacam,""berbagai(-bagai): bermacam obat telah dicobanya, tetapi ia belum juga sembuh"",8";;;;;;;;;;;;;;;;;;;;;;;;;
376,berprihatin,prihatin,11;;;;;;;;;;;;;;;;;;;;;;;;;
380,bersempuras,(1) ada kotorannya; kotor;;;;;;;;;;;;;;;;;;;;;;;;
381,berseran,bergaris-garis (berjalur-jalur) miring; bersetrip,8; (2) ada ampasnya atau sempelahnya,11;;;;;;;;;;;;;;;;;;;;;;;
382,bersetia,tetap setia; setia selamanya,8;;;;;;;;;;;;;;;;;;;;;;;;
390,berwujud,verba (kata kerja) mempunyai wujud; ada wujudnya;;;;;;;;;;;;;;;;;;;;;;;;
"391,besar,""(1) lebih dari ukuran sedang"; lawan dari kecil: batang kayu ini sangat besar sehingga tidak sanggup tanganku memeluknya; (2) nyata; konkret,8;;;;;;;;;;;;;;;;;;;;;;
